Barcode,capacity,imp,k,dcrfu25,dcr25,cycle25,cycle45,cycle60,calendar45,calendar60,volume,performance
61422501,0.674805851,0.312512811,0.015323975,0.575179806,0.067198177,0.863098107,0.911939103,0.826214752,0.88575075,0.839657835,0.38137603,Good
61422502,0.688011009,0.616640475,0.009489087,0.665548648,0.115224511,0.796439692,0.83933876,0.838342521,0.909165827,0.816189747,0.169953893,Good
61422503,0.684037084,0.588405426,0.00368335,0.687451514,0.054286419,0.90655845,0.909222103,0.823579592,0.986067267,0.766836274,0.481657973,Good
61422504,0.721085115,0.389749563,0.042359824,0.432145133,0.330779941,0.927375838,0.875669915,0.71928229,0.846908823,0.594336751,0.522281022,Good
61422505,0.734298064,0.423631622,0.017530269,0.60307224,0.263635296,0.965209928,0.843206969,0.562249173,0.987541553,0.853942196,0.231170723,Good
61422506,0.684773898,0.613584774,0.021657265,0.663702863,0.164061733,0.926859218,0.960764351,0.751408553,0.94341848,0.86366946,0.310010533,Good
61422507,0.652269551,0.50532565,0.030631789,0.647343785,0.208734939,0.914060248,0.942661612,0.850306874,0.96638366,0.729404845,0.236812726,Good
61422508,0.760359057,0.598568186,0.014720095,0.702778797,0.207888566,0.774416787,0.844436621,0.134604384,0.89781184,0.68252549,0.418476375,Good
61422509,0.806852988,0.528287061,0.024918331,0.794074353,0.163552919,0.807740519,0.918468308,0.456063173,0.996544688,0.810536436,0.662198899,Good
61422510,0.852988853,0.63663349,0.041310182,0.823700533,0,0.881478528,0.887657339,0.4260303,0.994490422,0.682415059,0.66924746,Good
61422511,0.837643942,0.774576567,0.076378452,0.723659189,0.299822505,0.972588035,1,0.891121811,0.919013801,0.750237399,0.270800351,Good
61422512,0.873125973,0.47887201,0.05396183,0.729636391,0.368522747,1,0.988611007,0.761572408,0.850412083,0.810791009,0.210718859,Good
61422513,0.845765084,0.856294744,0.024165983,0.62177142,0.312258478,0.851755789,0.883040256,0.752740993,0.888258792,0.844219303,0.274045527,Good
61422514,0.685779029,0.940457482,0.048845764,0.838007621,0.688886672,0.650273629,0.96403938,0.84580237,1,0.951805643,0.082362514,Good
61422515,0.718658417,0.909900471,0,0.844464458,1,0.787987106,0.96438072,0.770051414,0.88731264,1,0.134698473,Good
61422516,0.720520783,0.896732165,0.038260499,0.755845817,0.105381105,0.39707927,0.83459962,0.616056388,0.916915382,0.902428416,0.194638048,Good
61422517,0.525224406,1,0.002890753,0.839922673,0.06806563,0,0.803294097,0.957541964,0.915542432,0.971661298,0.166853787,Good
61422518,0.703429787,0.472062162,0.036164424,0.61266996,0.14891,0.906255433,0.91263878,0.900152519,0.773162126,0.761074396,0.273622929,Good
61422519,0.696029583,0.530382399,0.024820974,0.675046531,0.148642704,0.887692732,0.84137217,0.782481869,0.863635552,0.821220784,0.348656201,Good
61422520,0.807240513,0.564169722,0.032177517,0.61520979,0.130115859,0.932738298,0.873467986,0.635545601,0.766295443,0.654060793,0.533003665,Good
61422521,0.855729471,0.564868168,0.019863558,0.627689873,0.14174849,0.990375445,0.979669398,0.736363778,0.847225676,0.513240298,0.884337372,Good
61422522,0.652324217,0.683080147,0.004304846,0.639360671,0.067198177,0.820836559,0.953837511,0.544869653,0.769132125,0.730837741,0.531587645,Good
61422523,0.780011694,0.658844443,0.057973023,0.551603904,0.115224511,0.945666447,0.888693352,0.760946087,0.864589881,0.774601247,0.469673842,Good
61422524,0.687871165,0.738781212,0.04097657,0.61627088,0.054286419,0.930366903,0.979473189,0.425143729,0.910927383,0.552480856,0.934547725,Good
61422525,0.748031742,0.425440894,0.028419984,0.622527857,0.330779941,0.766798368,0.762516631,0.606588267,0.8486491,0.73268786,0.42044745,Good
61422526,0.766057194,0.541819452,0.037340732,0.637827434,0.263635296,0.688512564,0.845422481,0.631423922,0.894550262,0.71079152,0.325810663,Good
61422527,0.782931801,0.280949887,0.30483537,0.239207802,0.164061733,0.510404585,0.27775436,0.029604673,0.495488672,0.335076226,0.585272345,Poor
61422528,0.868843757,0.318054828,0.164184203,0.284762314,0.208734939,0.517305512,0.24171217,0.434792733,0.686476884,0.163603977,0.428620837,Poor
61422529,0.665826864,0.318491357,0.154012091,0.480372942,0.207888566,0.523418253,0.417793625,0.28580893,0.521179525,0.206933485,0.35660252,Poor
61422530,0.711161863,0.417146848,0.173906487,0.294041734,0.163552919,0.658199212,0.387052533,0.431151116,0.735584055,0.358427878,0.459471563,Poor
61422531,0.802643376,0.274838484,0.167091013,0.347207494,0,0.498785022,0.266550362,0.006185338,0.62935424,0.386348262,0.489748312,Poor
61422532,0.715821449,0.546097433,0.30014989,0.247396992,0.299822505,0.573643776,0.365918996,0,0.460510887,0.274847949,0.602769175,Poor
61422533,0.662023436,0.358494849,0.276818133,0.268621301,0.067198177,0.573107669,0.410438844,1,0.51379064,0.389733269,0.53713819,Poor
61422534,1,0.2462022,0.14935248,0.30095907,0.115224511,0.584411829,0.240820458,0.823746049,0.694028825,0.284791999,0.660694575,Poor
61422536,0.828722963,0.023644996,0.255986997,0.216151482,0.330779941,0.499372335,0.42587631,0.436938015,0.569070172,0.175810337,0.57926346,Poor
61422537,0.672127188,0.313951458,0.277991697,0.219557632,0.263635296,0.668544456,0.42859694,0.20857556,0.755261533,0.336919639,0.772771425,Poor
61422538,0.581596285,0.292474245,0.201278868,0.292008488,0.164061733,0.768645942,0.513884211,0.818729219,0.712084287,0.390491821,0.740471039,Poor
61422539,0.686153723,0.386004703,0.176136892,0.257757941,0.208734939,0.609731715,0.611656776,0.580406632,0.705204631,0.372204216,0.599004686,Poor
61422540,0.588705384,0.30653047,0.118899857,0.266562366,0.207888566,0.666138072,0.629648472,0.703665579,0.777357917,0.485246749,0.491954864,Poor
61422541,0.604135325,0.206743799,0.320636576,0.24498639,0.163552919,0.44035318,0.434654202,0.26831852,0.540974207,0.273527592,0.649591383,Poor
61422542,0.758254393,0,0.295644852,0.056763926,0,0.655752418,0.459680543,0.407896193,0.630391732,0.118086271,0.883840662,Poor
61422543,0.861249806,0.073773354,0.250974591,0,0.067198177,0.641664965,0.368014177,0.382601953,0.435581903,0.360410939,0.469623383,Poor
61422544,0.913767163,0.252883876,0.239734934,0.058854618,0.115224511,0.544499369,0.202983372,0.590068262,0.27076308,0.358727924,0.481287937,Poor
61422545,0.782931801,0.21802102,0.265138673,0.220011653,0.054286419,0.81040026,0.541214987,0.556722369,0.785180107,0.462474434,0.487682627,Poor
61422546,0.54572497,0.240440021,0.196954271,0.091767647,0.330779941,0.586423234,0.416373015,0.728078186,0.419363202,0,0.486733357,Poor
61422547,0.825987535,0.236989546,0.285311872,0.240899732,0.263635296,0.493061756,0.242794824,0.440300411,0.642646676,0.066458471,0.610102622,Poor
61422548,0.568541733,0.250119813,0.645398685,0.337268953,0.164061733,0.426233409,0.363274866,0.485199212,0.258502234,0.015624133,0.623074918,Poor
61422549,0.703617134,0.377597346,0.551141557,0.38763621,0.208734939,0.455768288,0.319056792,0.483784414,0,0.388213252,0.543155485,Poor
61422550,0.751960426,0.457918631,0.14564905,0.635223951,0.207888566,0.667374305,0.68668303,0.173739727,0.541926062,0.30445186,0.250865696,Poor
61422551,0.728761771,0.527152087,0.183305099,0.62279006,0.163552919,0.751399561,0.563808967,0.748974254,0.457943578,0.293855001,0.215376901,Poor
61422552,0.674884504,0.766621054,0.072492677,0.670285047,0,0.798220098,0.882922905,0.719691401,0.846336548,0.739468191,0.014762557,Good
61422553,0.775734034,0.834119085,0.092429173,0.723990204,0.299822505,0.753346413,0.821820992,0.877242667,0.766652917,0.600961035,0.007340806,Good
61422554,0.725164709,0.411646586,0.122290614,0.666880088,0.368522747,0.847613556,0.907480953,0.99079636,0.820470699,0.781656778,0.098585242,Good
61422555,0.800631627,0.551510389,0.155008212,0.725863757,0.312258478,0.625527838,0.808924896,0.999964157,0.715538825,0.682880272,0.043726308,Good
61422556,0.779394319,0.611737099,0.095011428,0.737704594,0.688886672,0.310620745,0.741625066,0.710392886,0.904969098,0.720094726,0,Good
61422559,0.737363439,0.454688318,0.101559798,0.628877479,0.06806563,0.628949272,0.737726466,0.653310928,0.777332183,0.592981893,0.080533357,Good
61422560,0.425902053,0.473957944,0.075419306,0.576741409,0.14891,0.899552995,0.758867769,0.769553543,0.851730202,0.668854318,0.100636736,Good
61422561,0.583794489,0.753877979,0.40468544,0.756501706,0.067198177,0.732654868,0.747781198,0.634095079,0.941531231,0.692914115,0.113114423,Good
61422562,0.636288446,0.254703412,0.123013629,0.318803845,0.115224511,0.839936761,0.580775071,0.464043017,0.728007839,0.448268946,0.54611998,Poor